,Unnamed: 0,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,interventions,n_days,pop_type,use_waning
466,16,90.0,197.0,377.0,585.0,768.0,865.0,0.0,58.0,158.0,267.0,396.0,488.0,0.0,1.0,7.0,12.0,26.0,33.0,0.0,0.0,0.0,2.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,39898.0,49719.0,49719.0,49719.0,49719.0,49719.0,14,49719.446407232535,90.6910120650291,France,az,35,hybrid,True
865,25,91.0,130.0,173.0,186.0,190.0,190.0,0.0,64.0,99.0,116.0,121.0,122.0,0.0,3.0,6.0,8.0,9.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25100.0,49933.0,50127.0,50128.0,50128.0,50128.0,14,50128.509455645,91.6238101923775,China,moderna,35,hybrid,True
900,0,107.0,145.0,178.0,193.0,197.0,199.0,0.0,73.0,100.0,120.0,123.0,124.0,0.0,0.0,9.0,14.0,15.0,15.0,0.0,0.0,1.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,51090.0,51090.0,51090.0,51090.0,51090.0,51090.0,14,51090.54380397731,107.31230456401526,Japan,pfizer,35,hybrid,True
1043,23,102.0,176.0,320.0,461.0,573.0,643.0,0.0,65.0,126.0,214.0,290.0,346.0,0.0,3.0,11.0,19.0,25.0,32.0,0.0,0.0,3.0,4.0,6.0,8.0,0.0,0.0,1.0,3.0,3.0,3.0,50184.0,50184.0,50184.0,50184.0,50184.0,50184.0,14,50184.85649921006,102.993990282074,Japan,az,35,hybrid,True
1008,18,95.0,182.0,301.0,446.0,568.0,636.0,0.0,60.0,135.0,214.0,294.0,367.0,0.0,3.0,10.0,21.0,31.0,43.0,0.0,0.0,1.0,8.0,9.0,13.0,0.0,0.0,0.0,1.0,4.0,4.0,48433.0,48433.0,48433.0,48433.0,48433.0,48433.0,14,48433.62597969629,95.206665792963,Japan,az,35,hybrid,True
1455,15,94.0,172.0,316.0,495.0,657.0,775.0,0.0,58.0,129.0,228.0,345.0,442.0,0.0,1.0,6.0,12.0,18.0,32.0,0.0,0.0,2.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,40805.0,50904.0,50904.0,50904.0,50904.0,50904.0,14,50904.87934731831,94.66760154710592,France,az,35,hybrid,True
709,19,99.0,127.0,149.0,162.0,163.0,163.0,0.0,62.0,84.0,99.0,103.0,103.0,0.0,1.0,6.0,9.0,10.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38661.0,48411.0,48411.0,48411.0,48411.0,48411.0,14,48411.57521259557,99.12324426118992,France,moderna,35,hybrid,True
1082,2,95.0,118.0,158.0,175.0,179.0,179.0,0.0,67.0,89.0,105.0,108.0,109.0,0.0,0.0,8.0,11.0,12.0,12.0,0.0,0.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0,50201.0,50201.0,50201.0,50201.0,50201.0,50201.0,14,50201.95375841179,95.3929475480306,Japan,pfizer,35,hybrid,True
415,25,96.0,147.0,198.0,212.0,215.0,219.0,0.0,53.0,95.0,110.0,117.0,119.0,0.0,2.0,7.0,11.0,11.0,11.0,0.0,1.0,2.0,3.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,25189.0,50096.0,50306.0,50307.0,50307.0,50307.0,14,50307.4916033199,96.84873311265744,China,pfizer,35,hybrid,True
387,27,98.0,222.0,594.0,1262.0,2829.0,5687.0,0.0,64.0,189.0,490.0,1073.0,2323.0,0.0,3.0,7.0,26.0,53.0,110.0,0.0,1.0,3.0,8.0,16.0,28.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51074.20002609812,98.47468271854748,France,none,35,hybrid,True
184,4,88.0,131.0,178.0,201.0,208.0,210.0,0.0,53.0,87.0,109.0,122.0,126.0,0.0,1.0,5.0,7.0,9.0,9.0,0.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,52144.0,52144.0,52144.0,52144.0,52144.0,52144.0,14,52144.95033726947,88.71070835884908,UK,pfizer,35,hybrid,True
382,22,98.0,215.0,541.0,1176.0,2480.0,5020.0,0.0,70.0,198.0,465.0,993.0,2048.0,0.0,1.0,8.0,13.0,42.0,88.0,0.0,0.0,3.0,6.0,14.0,29.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51074.20002609812,98.47468271854748,France,none,35,hybrid,True
1408,28,101.0,211.0,591.0,1426.0,3376.0,7575.0,0.0,64.0,200.0,505.0,1220.0,2772.0,0.0,0.0,10.0,23.0,57.0,155.0,0.0,0.0,5.0,8.0,11.0,33.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14,49639.41530953354,101.68813883953788,UK,none,35,hybrid,True
1123,13,106.0,143.0,198.0,230.0,248.0,255.0,0.0,67.0,102.0,126.0,142.0,151.0,0.0,1.0,5.0,7.0,10.0,10.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,49999.0,49999.0,49999.0,49999.0,49999.0,49999.0,14,49999.85282301632,106.11698794366778,UK,moderna,35,hybrid,True
1225,25,100.0,147.0,187.0,209.0,222.0,226.0,0.0,66.0,113.0,132.0,140.0,144.0,0.0,2.0,11.0,15.0,15.0,15.0,0.0,0.0,4.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,4.0,40467.0,50726.0,50726.0,50726.0,50726.0,50726.0,14,50726.59077744226,100.58683593803556,France,moderna,35,hybrid,True
1079,29,104.0,144.0,182.0,202.0,208.0,213.0,0.0,59.0,97.0,113.0,121.0,125.0,0.0,1.0,7.0,9.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24070.0,48043.0,48250.0,48251.0,48251.0,48251.0,14,48251.89212375311,104.0916249549614,China,moderna,35,hybrid,True
